	log_likelihood
762	330.18036
763	282.97015
764	287.7587
765	295.17868
766	252.20271
767	221.1348
768	317.7818
769	297.98175
770	316.82214
771	250.2292
772	270.53787
773	286.4629
774	329.72626
775	312.2932
776	197.7005
777	292.30502
778	227.94913
779	299.26947
780	324.61826
781	305.6683
782	313.31735
783	313.91553
784	256.69086
785	212.65039
786	278.83334
787	326.96173
788	283.2938
789	319.26605
790	291.8382
791	291.4167
792	301.98633
793	277.62
794	282.7229
795	278.83194
796	275.12244
797	294.68042
798	279.6811
799	318.49106
800	307.6528
801	303.23892
802	271.63495
803	294.1756
804	305.70752
805	282.44104
806	293.49164
807	289.91412
808	315.41193
809	293.86746
810	310.39322
811	315.71252
812	169.01645
813	291.43036
814	318.21356
815	316.75446
816	308.0167
817	275.8462
818	284.4106
819	196.28557
820	307.47388
821	319.25864
822	322.07758
823	295.09756
824	267.1408
825	278.08844
826	305.5968
827	273.64096
828	316.31985
829	200.52492
830	330.4628
831	224.08418
832	292.1993
833	317.17255
834	274.43317
835	267.1087
836	314.76944
837	248.6016
838	289.3172
839	320.66913
840	323.04153
841	135.02214
842	310.06216
843	325.49463
844	242.67766
845	292.0773
846	312.38126
847	316.7928
848	312.96393
849	282.51013
850	309.97406
851	285.8125
852	297.9461
853	303.18152
854	312.29672
855	327.96616
856	305.86493
857	307.98334
858	288.5726
859	272.37054
860	251.42151
861	247.41785
862	298.70966
863	309.37988
864	318.22476
865	296.6926
866	307.893
867	309.87384
868	285.8728
869	316.72214
870	251.276
871	286.38596
872	264.88788
873	308.2977
874	305.9688
875	304.30365
876	327.97516
877	276.0635
878	311.67252
879	288.57974
880	326.9807
881	329.0516
882	308.82465
883	279.7707
884	261.33118
885	242.81982
886	274.715
887	303.2102
888	199.71663
889	283.93378
890	301.008
891	278.3869
892	310.36176
893	283.94977
894	299.70547
895	288.78918
896	220.55078
897	313.91714
898	305.73334
899	286.9721
900	322.11887
901	265.93564
902	271.5604
903	234.61472
904	301.2447
905	205.65157
906	316.18903
907	327.46405
908	185.65729
909	301.14163
910	293.0512
911	308.07574
912	304.12064
913	331.7573
914	315.96954
915	278.04614
916	263.2991
917	326.35135
918	285.8992
919	291.6043
920	278.03784
921	280.3058
922	259.1395
923	287.30844
924	324.61942
925	243.57246
926	64.52557
927	306.67636
928	282.47943
929	298.0845
930	238.49438
931	269.4583
932	275.3668
933	298.4647
934	308.20416
935	257.6015
936	323.24478
937	322.63663
938	310.8647
939	252.28934
940	327.6872
941	293.5844
942	231.96367
943	324.85175
944	316.05975
945	328.5541
946	280.78644
947	313.33438
948	262.13336
949	277.63138
950	315.99634
951	294.58572
952	195.29166
953	291.0818
954	306.6744
955	304.58795
956	160.79893
957	264.415
958	298.77557
959	277.18817
960	260.3991
961	315.15997
962	333.36734
963	264.65955
964	295.5657
965	319.51852
966	290.13675
967	325.5937
968	305.59317
969	305.34976
970	253.33301
971	253.42976
972	301.34564
973	271.4489
974	312.23444
975	321.62408
976	287.7331
977	322.6145
978	278.6098
979	269.23566
980	272.93146
981	324.99295
982	195.57251
983	269.2159
984	307.95685
985	298.9809
986	331.24487
987	275.05557
988	305.95966
989	295.30585
990	314.082
991	293.70224
992	303.88898
993	313.9886
994	327.8375
995	292.82306
996	329.85245
997	253.08951
998	296.82495
999	317.02652
1000	302.91797
1001	298.62042
1002	292.42047
1003	298.09842
1004	156.6757
1005	275.65143
1006	322.45633
1007	328.21722
1008	271.65912
1009	206.24466
1010	288.0927
1011	315.48627
1012	244.98257
1013	302.91888
1014	313.3521
1015	293.2855
1016	321.6983
1017	294.76837
1018	321.06122
1019	318.13013
1020	312.0541
1021	242.6914
1022	161.1113
1023	324.44183
1024	324.20215
1025	294.00897
1026	247.53267
1027	309.79437
1028	281.4604
1029	313.3775
1030	315.31894
1031	249.67204
1032	290.13797
1033	275.69485
1034	303.56476
1035	274.7165
1036	314.15826
1037	320.78842
1038	302.26035
1039	297.09772
1040	189.54697
1041	57.63952
1042	259.77386
1043	234.63489
1044	299.49673
1045	223.08162
1046	308.96268
1047	300.2133
1048	307.69196
1049	184.0071
1050	314.75497
1051	320.91266
1052	313.92084
1053	293.03268
1054	327.8887
1055	333.6922
1056	328.4372
1057	269.43842
1058	264.05518
1059	274.91022
1060	329.80762
1061	313.94492
1062	235.16214
1063	227.02946
1064	285.00177
1065	242.52457
1066	209.39444
1067	306.12122
1068	289.8189
1069	299.58368
1070	308.91885
1071	307.56213
1072	324.37143
1073	264.30798
1074	316.73178
1075	310.71643
1076	282.14786
1077	157.50002
1078	306.30292
1079	311.15552
1080	321.14322
1081	281.39175
1082	326.8128
1083	314.44073
1084	316.0711
1085	311.9372
1086	196.21211
1087	235.55952
1088	304.04306
1089	300.41718
1090	316.60028
1091	239.45903
1092	237.28145
1093	318.05298
1094	306.15375
1095	307.20923
1096	328.93884
1097	260.37952
1098	272.3783
1099	331.61392
1100	327.61957
1101	279.24142
1102	304.12607
1103	298.75806
1104	307.96475
1105	297.15326
1106	263.83054
1107	109.84822
1108	280.67337
1109	302.54385
1110	301.38412
1111	292.38257
1112	264.6817
1113	312.8095
1114	324.28693
1115	332.5516
1116	317.81668
1117	309.68906
1118	228.4731
1119	270.33908
1120	289.4035
1121	278.67035
1122	313.565
1123	314.27682
1124	290.36688
1125	278.02765
1126	328.9638
1127	310.62332
1128	277.06552
1129	289.5567
1130	313.31235
1131	306.15372
1132	303.25693
1133	288.8314
1134	280.3832
1135	214.71805
1136	329.03726
1137	334.18787
1138	313.33807
1139	302.00317
1140	313.72842
1141	325.721
1142	269.90497
1143	308.8177
1144	239.74991
1145	259.09576
1146	156.93233
1147	316.5729
1148	224.17484
1149	274.58035
1150	228.78853
1151	215.33969
1152	290.41528
1153	306.61285
1154	185.92877
1155	293.19736
1156	294.24005
1157	308.83893
1158	238.84354
1159	287.49454
1160	284.29788
1161	295.56937
1162	295.45343
1163	301.82263
1164	267.03784
1165	294.2618
1166	284.44278
1167	274.32367
1168	285.24615
1169	259.43
1170	309.1718
1171	332.01837
1172	318.68475
1173	285.55774
1174	300.5839
1175	329.702
1176	319.2298
1177	279.22015
1178	313.60446
1179	266.5545
1180	319.69135
1181	289.42
1182	290.77542
1183	255.11983
1184	321.56827
1185	230.6753
1186	313.00867
1187	248.06853
1188	316.21597
1189	331.9472
1190	298.71503
1191	236.73576
1192	190.20903
1193	272.952
1194	249.8937
1195	306.67285
1196	291.85336
1197	310.91644
1198	312.50748
1199	324.3643
1200	248.69942
1201	264.04477
1202	283.35284
1203	287.3531
1204	228.00912
1205	235.19177
1206	320.18384
1207	324.67734
1208	315.648
1209	193.47327
1210	318.08374
1211	178.3961
1212	192.9412
1213	155.73631
1214	237.63513
1215	231.68076
1216	299.98907
1217	304.39166
1218	306.69424
1219	293.16812
1220	303.04156
1221	218.59717
1222	262.01285
1223	307.479
1224	325.40616
1225	317.54605
1226	297.8773
1227	323.53482
1228	318.0933
1229	312.72595
1230	260.6084
1231	283.3502
1232	287.94565
1233	207.7454
1234	273.56393
1235	286.1374
1236	330.7753
1237	197.32626
1238	294.08957
1239	288.61392
1240	291.9688
1241	238.17053
1242	314.1441
1243	313.27905
1244	308.15607
1245	294.3047
1246	219.6027
1247	320.00543
1248	217.3422
1249	323.56625
1250	176.43253
1251	274.21777
1252	305.20773
1253	261.3134
1254	317.40863
1255	232.92705
1256	294.00128
1257	278.32715
1258	289.38745
1259	285.25885
1260	308.8505
1261	317.67596
1262	309.75528
1263	212.76279
1264	290.40314
1265	254.00285
1266	323.35663
1267	291.63593
1268	266.58545
1269	246.88823
1270	188.11089
1271	260.06137
