	z_coordinate_0	z_coordinate_1
334	10.8071375	-2.6728067
335	-2.0623662	1.0086689
336	-2.2342267	3.1019235
337	5.5741053	-0.58531904
338	-2.5798018	2.2274842
339	-2.2899055	2.0713656
340	-2.4743645	0.96715796
341	4.3265233	13.340582
342	-11.545476	1.6442425
343	-1.9232154	0.6535907
344	-1.8216834	-12.395742
345	-1.4974315	2.8619723
346	-2.0669959	2.8867936
347	-1.9573286	-5.166188
348	-1.9527214	1.5763879
349	-2.073966	-4.8344812
350	4.87897	-9.89815
351	5.553069	-10.086345
352	5.191329	-10.006263
353	-1.8072681	0.8533273
354	4.9561787	-10.005506
355	-1.5020943	0.31059292
356	4.73627	-10.2958355
357	-1.7825539	-5.1536465
358	-1.2719197	1.7244557
359	4.7556915	11.807381
360	-1.6007078	0.6825428
361	0.6478768	-8.957464
362	-8.742757	-7.6745434
363	10.473891	-2.553557
364	-1.8301387	1.8301394
365	-0.02313447	-8.435322
366	-1.6733842	1.3539706
367	0.6918258	2.3795166
368	-5.1973276	-12.87879
369	-0.64878404	2.1474543
370	0.3517397	-8.167364
371	-2.0034912	-5.021764
372	-11.717204	1.5117887
373	-1.6211433	1.7731553
374	-2.5289264	-12.755472
375	-2.9280896	6.1547265
376	-1.710917	0.288726
377	5.111174	-10.247905
378	10.562814	-2.047324
379	-1.5568023	-5.0154033
380	-10.848412	-4.7780113
381	6.1038823	11.552763
382	-0.95492315	0.3163055
383	-2.0782843	2.7285395
384	4.033943	-3.275445
385	-7.5613174	-12.899176
386	5.815465	8.916919
387	4.8899	-10.341177
388	-1.5947621	0.6370952
389	10.839372	-2.1857593
390	-1.6317377	1.4948945
391	-1.5928454	0.2115975
392	-1.3313379	1.0947214
393	-2.1905317	1.9468079
394	5.4171743	11.261258
395	10.733233	-2.448243
396	-1.0769575	1.7931197
397	-1.7124357	1.4861894
398	-0.9879119	1.4952614
399	-1.514987	0.7863296
400	5.0121646	10.444029
401	10.600291	-2.5604796
402	-1.6867447	1.2285621
403	5.810378	-10.26918
404	-2.641737	1.0135881
405	-11.209482	-4.4609413
406	10.9359865	-2.5099084
407	4.9424615	11.18601
408	4.8140497	-1.2047732
409	10.902492	2.2269917
410	5.713424	4.0606146
411	-0.94819176	0.81540287
412	-2.3577008	2.5156977
413	10.791083	-2.5712862
414	-1.5633918	0.6410626
415	-1.2438095	1.8296276
416	-1.3968282	2.1396217
417	-1.1230593	0.12421036
418	-1.8289704	0.89918137
419	-0.57704484	0.07774639
420	4.4795485	-9.773009
421	6.316044	-10.212026
422	-0.9125204	0.060546085
423	5.077741	-1.2957674
424	5.242575	11.741556
425	-1.6946027	1.3773236
426	-4.445596	-12.444456
427	-2.6124873	1.263025
428	-1.11586	2.655445
429	-2.9298315	2.1243038
430	-1.3415732	0.806309
431	-1.2217906	-0.3252652
432	-8.2762	-8.855606
433	10.569919	-2.6929128
434	5.6292677	-9.528943
435	3.7592793	8.638127
436	-1.6866672	2.0197256
437	-2.0958686	-5.069686
438	5.421285	-10.447057
439	-1.3950955	1.4611381
440	-2.9602041	-8.316551
441	6.341646	-7.141473
442	-1.1641462	-0.5763283
443	-2.7976317	3.437864
444	-1.7453804	1.4578468
445	-0.19117719	1.8916521
446	-1.6334014	0.22720289
447	0.28015882	13.231375
448	5.584054	10.906672
449	4.2373476	11.61684
450	-1.3425262	1.2864596
451	10.799127	-2.33419
452	-6.1340466	-3.0760317
453	-2.4801219	1.9743323
454	-1.8104861	3.7278166
455	5.785868	10.836636
456	-1.470794	1.9759595
457	5.3808637	-9.966491
458	-0.38879701	0.82514656
459	-12.2178755	1.4687264
460	-1.4002953	0.7320018
461	-1.8215616	2.5245848
462	4.8605986	-10.338764
463	3.8809052	-3.2764046
464	-2.4824405	-5.143383
465	-1.3525798	0.99221134
466	-11.857761	1.5929177
467	5.943087	9.72419
468	-11.087649	8.374985
469	5.1877947	-9.197655
470	-1.3363805	1.2237991
471	-1.0749805	2.0195682
472	-2.4556124	2.8749638
473	-1.3937577	1.3404804
474	-1.3704093	0.5635332
475	4.8663354	-10.237587
476	-1.902215	-5.0366545
477	-1.1623391	1.035583
478	-1.8630774	-4.5242066
479	-1.1398609	0.26847002
480	-1.5726025	1.569154
481	-1.5284913	2.1963842
482	-2.4230008	1.1610763
483	10.515425	-2.5511384
484	-2.442695	5.0416307
485	-1.3066397	1.2519647
486	-0.88733155	1.6525891
487	0.20809132	2.4432487
488	11.076413	-2.3241987
489	-2.493907	1.5978143
490	-2.2997353	1.7514554
491	-6.045284	-3.1396596
492	10.470838	-2.544693
493	-1.2453587	-5.238216
494	11.232381	-1.8064282
495	4.6263156	11.31473
496	5.515256	-10.632648
497	-2.751174	6.599098
498	5.072179	-9.891456
499	4.1869736	-3.7659328
500	3.5171528	11.795874
501	-2.1308491	-4.9325824
502	-2.0508738	0.827106
503	-2.450741	2.5057476
504	-1.4176211	1.734118
505	-1.251542	0.12695768
506	10.632199	-2.5735998
507	5.4407825	10.964191
508	-1.6184349	2.6850166
509	-1.1005373	0.60179317
510	3.955666	-3.8925133
511	5.547835	-10.027541
512	-0.8118416	-0.1072035
513	-1.1892984	2.0033395
514	-1.5909705	1.3011098
515	-11.034986	-4.430937
516	-2.256396	-12.865122
517	-1.4326639	1.9568818
518	-2.0145981	1.5939815
519	-1.6615994	1.7995118
